Rule,Time sequence

"""Ogre""","00:03:48
00:07:02
00:09:21
00:26:00
00:26:37
00:26:40
00:26:59
00:27:06
00:27:21
00:27:44
00:28:00
00:42:26
00:42:40
00:43:00
00:46:01
00:47:57
00:48:23
01:00:37
01:00:40
01:03:56
01:07:08
01:07:45
01:08:37
01:12:17
01:13:43
01:16:51
01:16:58
"

"""Donkey""","00:05:39
00:06:24
00:06:30
00:09:12
00:15:32
00:23:35
00:26:33
00:29:08
00:29:59
00:30:03
00:30:13
00:30:52
00:30:54
00:31:20
00:32:24
00:33:32
00:43:29
00:46:13
00:46:30
00:46:53
00:47:16
00:47:33
00:48:27
00:50:33
00:54:04
00:54:11
00:54:27
00:54:34
00:57:30
01:01:49
01:01:57
01:03:37
01:04:26
01:04:44
01:07:00
01:09:10
01:11:41
01:12:18
01:12:46
01:13:26
01:14:20
01:18:57
"

"""Swamp""","00:13:59
00:25:48
00:25:49
00:25:50
00:26:03
00:46:51
00:46:55
01:07:11
01:09:08
01:12:11
01:12:12
"

"""Lord Farquad"" or anytime he is mentioned","00:07:07
00:14:30
00:14:39
00:15:11
00:19:38
00:42:47
00:43:14
00:44:07
00:44:10
00:44:27
00:57:18
01:00:16
01:03:20
01:03:46
01:07:27
01:07:29
01:08:10
"

"""Steed""","00:36:16
00:40:49
00:40:53
00:40:55
00:43:06
"

someone sings,"00:08:49
00:11:35
00:15:38
00:49:43
00:51:34
00:52:15
01:15:36
01:21:46
"

Burps or farts happen or are mentioned,"00:02:15
00:03:04
00:29:20
00:46:21
00:51:12
00:51:15
"

everytime someone gets beat up,"00:24:07
00:24:12
00:24:12
00:24:29
00:24:32
00:24:46
00:24:54
00:24:56
00:24:58
00:25:02
00:52:55
00:53:05
00:53:07
00:53:14
00:53:15
00:53:20
00:53:22
01:18:17
01:18:20
01:18:22
01:18:40
"

Everytime a pop song comes on,"00:01:45
00:19:52
00:24:23
00:28:35
00:55:48
01:09:27
01:20:45
"

Everytime there is fire (dragon or other),"00:33:20
00:33:29
00:33:38
00:34:06
00:37:54
00:38:38
00:39:21
00:39:47
01:10:32
01:11:01
01:11:33
"

everytime fiona hides her secret,"00:44:57
00:59:38
"

anytime someone mentions the muffin man,"00:17:12
00:17:13
00:17:14
00:17:17
00:17:22
00:17:23
00:17:25
00:17:27
"

every pop culture reference,"00:18:52
00:19:13
00:21:31
00:24:50
00:29:52
00:39:16
01:15:15
01:15:39
01:19:13
01:21:44
"

Any comparrison to ogres and onions,"00:27:07
00:27:16
00:27:17
00:27:17
00:27:42
00:28:05
00:47:22
01:12:56
"

everytime someone speaks in another language,"00:51:41
"

"""Fiona""","00:19:15
00:19:39
00:20:10
00:35:51
01:07:05
01:07:54
01:07:55
01:13:05
01:13:59
01:16:25
01:16:40
01:17:13
01:18:16
01:18:32
01:19:22
01:20:13
01:20:21
"

love or true love is mentioned,"00:01:35
00:01:53
00:41:38
00:41:53
00:43:10
00:43:54
01:03:52
01:04:43
01:16:46
01:16:47
"

anytime shrek is annoyed with donkey,"00:08:26
00:11:03
00:15:48
00:27:56
00:32:30
00:47:38
01:08:59
"

"""shrek""","00:09:54
00:09:55
00:09:55
00:15:33
00:15:40
00:29:04
00:30:41
00:30:52
00:30:53
00:31:09
00:31:14
00:31:38
00:35:10
00:35:10
00:35:11
00:36:41
00:36:44
00:41:40
00:41:41
00:41:49
00:44:19
00:45:23
00:45:48
00:46:48
00:47:02
00:51:09
00:54:00
00:54:05
00:54:13
00:54:25
00:55:00
00:57:24
00:59:10
01:00:20
01:01:45
01:01:46
01:01:47
01:02:00
01:02:01
01:02:01
01:02:23
01:03:35
01:03:57
01:03:59
01:04:35
01:04:52
01:05:46
01:05:47
01:06:13
01:08:39
01:08:42
01:08:55
01:09:18
01:16:02
01:17:03
01:18:09
01:18:14
01:18:29
"

any inappropriate joke,"00:20:49
00:21:03
00:22:05
00:37:21
00:39:00
00:44:36
00:52:36
00:57:21
"

"some of you may die, but that's a sacrifice i'm willing to take","00:23:24
"

